OBJECTID_1,Planning Region,ARC Modeling Area,Geographic ID for geographic unit,Logical record number,Summary level of geographic unit,Name of geographic unit,"# Renter-occupied housing units, 2020","# Renter-occupied housing units, 2020 (MOE)","# Gross rent less than $500, 2020","# Gross rent less than $500, 2020 (MOE)","% Gross rent less than $500, 2020","% Gross rent less than $500, 2020 (MOE)","# Gross rent $500 to $999, 2020","# Gross rent $500 to $999, 2020 (MOE)","% Gross rent $500 to $999, 2020","% Gross rent $500 to $999, 2020 (MOE)","# Gross rent $1,000 to $1,499, 2020","# Gross rent $1,000 to $1,499, 2020 (MOE)","% Gross rent $1,000 to $1,499, 2020","% Gross rent $1,000 to $1,499, 2020 (MOE)","# Gross rent $1,500 to $1,999, 2020","# Gross rent $1,500 to $1,999, 2020 (MOE)","% Gross rent $1,500 to $1,999, 2020","% Gross rent $1,500 to $1,999, 2020 (MOE)","# Gross rent $2,000 to $2,499, 2020","# Gross rent $2,000 to $2,499, 2020 (MOE)","% Gross rent $2,000 to $2,499, 2020","% Gross rent $2,000 to $2,499, 2020 (MOE)","# Gross rent $2,500 to $2,999, 2020","# Gross rent $2,500 to $2,999, 2020 (MOE)","% Gross rent $2,500 to $2,999, 2020","% Gross rent $2,500 to $2,999, 2020 (MOE)","# Gross rent $3,000 or more, 2020","# Gross rent $3,000 or more, 2020 (MOE)","% Gross rent $3,000 or more, 2020","% Gross rent $3,000 or more, 2020 (MOE)","# Gross rent less than $200, 2020","# Gross rent less than $200, 2020 (MOE)","% Gross rent less than $200, 2020","% Gross rent less than $200, 2020 (MOE)","# Gross rent $200 to $499, 2020","# Gross rent $200 to $499, 2020 (MOE)","% Gross rent $200 to $499, 2020","% Gross rent $200 to $499, 2020 (MOE)","# Gross rent $500 to $749, 2020","# Gross rent $500 to $749, 2020 (MOE)","% Gross rent $500 to $749, 2020","% Gross rent $500 to $749, 2020 (MOE)","# Gross rent $750 to $999, 2020","# Gross rent $750 to $999, 2020 (MOE)","% Gross rent $750 to $999, 2020","% Gross rent $750 to $999, 2020 (MOE)","# Gross rent $1,000 to $1,499, 2020","# Gross rent $1,000 to $1,499, 2020 (MOE)","% Gross rent $1,000 to $1,499, 2020","% Gross rent $1,000 to $1,499, 2020 (MOE)","# Gross rent $1,500 to $1,999, 2020","# Gross rent $1,500 to $1,999, 2020 (MOE)","% Gross rent $1,500 to $1,999, 2020","% Gross rent $1,500 to $1,999, 2020 (MOE)","# Gross rent $2,000 or more, 2020","# Gross rent $2,000 or more, 2020 (MOE)","% Gross rent $2,000 or more, 2020","% Gross rent $2,000 or more, 2020 (MOE)","# Gross rent less than $750, 2020","# Gross rent less than $750, 2020 (MOE)","% Gross rent less than $750, 2020","% Gross rent less than $750, 2020 (MOE)","# Gross rent $1,000 or more, 2020","# Gross rent $1,000 or more, 2020 (MOE)","% Gross rent $1,000 or more, 2020","% Gross rent $1,000 or more, 2020 (MOE)",Shape__Area,Shape__Length
391,Atlanta Regional Commission,Yes,30319,4043,ZCTA,2020 ZCTA 30319,7870.428,616.82956,259.23977,294.66755,3.3,3.8,371.23652,206.08646,4.8,2.6,2914.3555,424.68112,37.6,4.6,2841.9278,444.42976,36.6,4.9,907.53841,248.17999,11.7,3.1,152.65342,102.17973,2,1.3,314.17285,139.2607,4,1.8,41.054567,101.59463,0.5,1.3,218.18521,276.59989,2.8,3.6,144.09754,155.84412,1.9,2,227.13898,134.84894,2.9,1.7,2914.3555,424.68112,37.6,4.6,2841.9278,444.42976,36.6,4.9,1374.3647,302.36988,17.7,3.6,403.33731,333.3412,5.2,4.3,6663.8217,662.9217,85.9,5.1,290917087.522217,108263.855213994
392,Atlanta Regional Commission,Yes,30349,4063,ZCTA,2020 ZCTA 30349,12103.079,897.05942,284.95759,288.36095,2.4,2.4,5607.201,738.82709,47,5.1,4689.8628,629.96377,39.3,4.4,1132.5211,409.56646,9.5,3.4,107.77158,118.83807,0.9,1,67.521729,178.62077,0.6,1.5,34,115.07213,0.3,1,57.519269,132.84495,0.5,1.1,227.43832,255.93799,1.9,2.1,1382.449,331.92449,11.6,2.6,4224.752,660.06939,35.4,4.9,4689.8628,629.96377,39.3,4.4,1132.5211,409.56646,9.5,3.4,209.2933,243.4532,1.8,2,1667.4066,439.68842,14,3.5,5930.1555,760.73749,49.7,5.2,1286286002.99585,304800.935292993
393,Georgia Mountains,No,30552,4149,ZCTA,2020 ZCTA 30552,101.68644,59.581119,26.64943,48.012269,35.7,60.2,18.044038,40.178952,24.2,51.6,14.652241,29.760924,19.6,37.9,3.3543017,13.948172,4.5,18.5,0,14.814492,0,19.8,0,14.814492,0,19.8,11.96056,28.750673,16,37.1,5.6844749,27.845023,7.6,37,20.964955,39.113075,28.1,49.3,9.6888381,30.628073,13,40.2,8.3551997,26.005179,11.2,34.1,14.652241,29.760924,19.6,37.9,3.3543017,13.948172,4.5,18.5,11.96056,35.574423,16,46.6,36.338268,56.949599,48.7,69.7,18.006542,36.051814,24.1,45.8,1607898850.18433,289014.605428017
394,Georgia Mountains,Partial,30554,4151,ZCTA,2020 ZCTA 30554,884.22354,184.51154,42.019005,77.753219,5.6,10.3,502.60309,170.11964,67.2,17.2,173.17036,75.128068,23.1,8.6,22.164846,24.955286,3,3.3,8.5028667,31.092133,1.1,4.1,0,23.050279,0,3.1,0,32.598017,0,4.4,1.046026,39.873693,0.1,5.3,40.972979,66.750668,5.5,8.8,239.74013,122.0635,32,14.7,262.86296,118.49554,35.1,13.8,173.17036,75.128068,23.1,8.6,22.164846,24.955286,3,3.3,8.5028667,50.603032,1.1,6.8,281.75914,144.72409,37.6,17.4,203.83807,85.051242,27.2,9.6,2018965208.33179,400628.407318063
395,Northeast Georgia,No,30627,4187,ZCTA,2020 ZCTA 30627,214.78866,102.60482,16.262253,49.192919,20.8,61.4,54.847138,45.771922,70,37.7,7.2141797,25.031577,9.2,31.4,0,15.030935,0,19.2,0,15.030935,0,19.2,0,15.030935,0,19.2,0,21.256952,0,27.1,0.00479386,26.032575,0,33.2,16.257459,41.740249,20.8,51.6,28.778708,35.349668,36.7,38.6,26.068431,29.076963,33.3,30.5,7.2141797,25.031577,9.2,31.4,0,15.030935,0,19.2,0,30.06187,0,38.4,45.040961,60.576748,57.5,68.1,7.2141797,32.839577,9.2,41.5,3319763186.46973,431318.950094997
396,Northeast Georgia,No,30629,4189,ZCTA,2020 ZCTA 30629,610.14208,182.76798,73.212016,79.204444,25,25.6,176.86909,81.874537,60.3,18.6,41.376491,39.855753,14.1,12.7,0,20.292168,0,6.9,0,20.292168,0,6.9,1.8148668,20.898002,0.6,7.1,0,28.697459,0,9.8,2.3106425,34.510171,0.8,11.8,70.901374,71.290898,24.2,22.8,110.74248,68.627603,37.8,19.4,66.126617,44.650778,22.5,13.1,41.376491,39.855753,14.1,12.7,0,20.292168,0,6.9,1.8148668,40.890619,0.6,13.9,183.95449,104.80025,62.7,28.5,41.376491,49.112373,14.1,16,2102147549.10498,318282.545197185
397,Central Savannah River Area,No,30456,4099,ZCTA,2020 ZCTA 30456,117.33899,49.951386,37.727951,38.443365,35.5,32.3,64.264105,47.143274,60.5,34.6,4.24982,13.907065,4,13,0,11.496655,0,10.8,0,11.496655,0,10.8,0,11.496655,0,10.8,0,16.258726,0,15.3,9.8412437,25.4132,9.3,23.5,27.886708,28.845477,26.2,24.3,54.514963,42.154878,51.3,31.9,9.7491417,21.105794,9.2,19.4,4.24982,13.907065,4,13,0,11.496655,0,10.8,0,22.993311,0,21.6,92.242914,57.051959,86.8,36,4.24982,21.395154,4,20.1,2000889768.35303,285356.086041566
398,Georgia Mountains,No,30520,4123,ZCTA,2020 ZCTA 30520,491.16535,183.15487,78.859234,62.239591,18.2,12.4,323.23366,156.86318,74.7,20.6,25.923527,55.173937,6,12.5,3.7066312,22.586391,0.9,5.2,1.0598848,16.351551,0.2,3.8,0,17.049653,0,3.9,0,24.111851,0,5.6,1.2365322,29.24233,0.3,6.8,77.622702,54.942268,17.9,10.5,172.68716,116.74911,39.9,21.8,150.5465,104.76499,34.8,19.8,25.923527,55.173937,6,12.5,3.7066312,22.586391,0.9,5.2,1.0598848,33.755669,0.2,7.8,251.5464,132.30314,58.1,19.9,30.690043,61.819751,7.1,14,1572611805.73291,273214.99466905
399,Georgia Mountains,No,30557,4153,ZCTA,2020 ZCTA 30557,470.05797,168.32299,64.002184,101.42954,16.7,25.6,269.26565,115.99241,70.2,12.3,7.3605381,33.557547,1.9,8.7,42.837546,49.505582,11.2,12.1,0,21.118034,0,5.5,0,21.118034,0,5.5,0,29.865411,0,7.8,8.9157355,37.310797,2.3,9.7,55.086449,94.31785,14.4,23.9,151.42974,88.520921,39.5,17.1,117.83592,74.955222,30.7,15.4,7.3605381,33.557547,1.9,8.7,42.837546,49.505582,11.2,12.1,0,42.236069,0,11,215.43192,134.62506,56.2,27.3,50.198084,63.426201,13.1,15.7,1695025591.37012,424328.996917492
400,Georgia Mountains,Yes,30501,4111,ZCTA,2020 ZCTA 30501,5652.2847,577.28637,473.03916,215.17169,8.5,3.8,3083.8966,511.4459,55.4,7.2,1553.8772,372.49994,27.9,6,260.43077,129.65312,4.7,2.3,86.217897,85.918603,1.5,1.5,19,51.662386,0.3,0.9,94.002083,94.184969,1.7,1.7,0,75.577817,0,1.4,473.03916,201.46179,8.5,3.5,932.23346,271.76527,16.7,4.6,2151.6631,433.2673,38.6,6.7,1553.8772,372.49994,27.9,6,260.43077,129.65312,4.7,2.3,199.21998,137.5566,3.6,2.4,1405.2726,346.63413,25.2,5.7,1900.5259,403.66836,34.1,6.3,680034890.610596,189072.01473322
401,Georgia Mountains,No,30521,4124,ZCTA,2020 ZCTA 30521,330.85818,130.00458,45.448402,61.810783,22.6,29.4,124.6736,74.437236,62.1,27.1,25.471263,45.774871,12.7,22.2,5.1377593,16.836923,2.6,8.3,0,17.857294,0,8.9,0,17.857294,0,8.9,0,25.254028,0,12.6,9.6912324,31.24604,4.8,15.4,35.75717,53.331584,17.8,25.6,93.325772,62.906464,46.5,24.9,31.347825,39.795463,15.6,18.8,25.471263,45.774871,12.7,22.2,5.1377593,16.836923,2.6,8.3,0,35.714589,0,17.8,138.77417,88.191815,69.1,33.7,30.609023,51.939424,15.2,25.1,2589671187.89429,554501.715364058
402,Northeast Georgia,No,30549,4148,ZCTA,2020 ZCTA 30549,1664.219,304.55156,149.81447,147.04246,10.9,10.5,683.91285,244.74219,49.9,15,320.55714,142.11072,23.4,9.3,206.10203,117.41676,15,8.1,5.1262608,39.412131,0.4,2.9,0,40.639505,0,3,4.271884,56.483281,0.3,4.1,0.05753096,70.338587,0,5.1,149.75694,129.12772,10.9,9.2,459.26407,194.74809,33.5,12.7,224.64878,148.22929,16.4,10.3,320.55714,142.11072,23.4,9.3,206.10203,117.41676,15,8.1,9.3981447,79.970285,0.7,5.8,609.07854,244.02521,44.5,15.6,531.78543,188.50854,38.8,11.5,2973978778.03345,401789.380035043
403,Georgia Mountains,No,30523,4126,ZCTA,2020 ZCTA 30523,705.94735,177.89551,110.21618,89.533206,18.1,13.8,415.27742,170.1387,68.1,20.3,76.937314,64.37448,12.6,9.9,7.5846133,27.764636,1.2,4.5,0,27.952846,0,4.6,0,27.952846,0,4.6,0,39.531295,0,6.5,18.796183,48.931903,3.1,8,91.419994,74.979089,15,11.6,184.03315,100.29079,30.2,14.1,231.24426,137.43703,37.9,19.9,76.937314,64.37448,12.6,9.9,7.5846133,27.764636,1.2,4.5,0,55.905693,0,9.2,294.24933,134.4412,48.2,17.4,84.521927,75.473905,13.9,11.7,5228708808.30981,572020.602628355
404,Georgia Mountains,No,30525,4127,ZCTA,2020 ZCTA 30525,915.00008,185.37086,185.76338,96.69591,23,10.9,464.38876,150.48375,57.4,14.1,156.35673,122.92535,19.3,14.7,1.4258337,23.916041,0.2,3,0,24.12232,0,3,0,24.12232,0,3,0.41094148,34.308775,0.1,4.2,30.828503,44.969296,3.8,5.5,154.93488,85.602929,19.2,9.8,211.1383,107.60012,26.1,12.1,253.25046,105.20253,31.3,11.2,156.35673,122.92535,19.3,14.7,1.4258337,23.916041,0.2,3,0.41094148,48.382483,0.1,6,396.90168,144.66473,49.1,14.6,157.78257,127.53237,19.5,15.2,5545806368.92285,703022.846060871
405,Coastal Regional Commission,No,30458,4101,ZCTA,2020 ZCTA 30458,8513.4523,678.87367,875.49362,264.37041,11,3.2,5001.6399,612.76005,62.6,5.7,1577.2775,360.17752,19.7,4.2,434.02139,144.27862,5.4,1.7,85.608917,83.825981,1.1,1,0,50.532288,0,0.6,18,75.842101,0.2,0.9,10,88.462062,0.1,1.1,865.49362,249.13084,10.8,3,2714.4424,434.5899,34,4.7,2287.1975,431.97974,28.6,4.9,1577.2775,360.17752,19.7,4.2,434.02139,144.27862,5.4,1.7,103.60892,123.82379,1.3,1.5,3589.9361,508.68467,44.9,5.2,2096.9078,396.95209,26.2,4.5,4075375841.12061,475890.017642119
406,Georgia Mountains,No,30553,4150,ZCTA,2020 ZCTA 30553,934.18005,200.62441,203.27957,102.05288,23.6,10.6,560.78176,165.81475,65.2,12.8,63.031852,70.101624,7.3,8,28.482874,45.462806,3.3,5.2,4.938612,19.779204,0.6,2.3,0,22.357691,0,2.6,0,31.61855,0,3.7,7.3533614,37.87115,0.9,4.4,195.92621,94.765853,22.8,9.8,353.25527,128.73216,41.1,11.9,207.52649,104.51105,24.1,10.9,63.031852,70.101624,7.3,8,28.482874,45.462806,3.3,5.2,4.938612,43.483514,0.6,5.1,556.53485,164.27647,64.7,12.6,96.453338,85.862223,11.2,9.7,1787953498.54565,361465.170124358
407,Northwest Georgia,No,30555,4152,ZCTA,2020 ZCTA 30555,160.40878,81.988806,21.987491,39.057213,20.8,34.4,59.699172,63.727427,56.5,47.6,23.582786,38.954593,22.3,33.8,0,12.107865,0,11.5,0.42283636,9.6822445,0.4,9.2,0,12.107865,0,11.5,0,17.123107,0,16.2,0,20.971438,0,19.8,21.987491,32.949426,20.8,28,28.356973,45.174101,26.8,39,31.3422,44.949812,29.7,37.8,23.582786,38.954593,22.3,33.8,0,12.107865,0,11.5,0.42283636,23.098638,0.4,21.9,50.344464,59.717378,47.6,47.1,24.005622,41.926204,22.7,36.8,319740207.150879,134126.272959639
408,Georgia Mountains,Yes,30507,4114,ZCTA,2020 ZCTA 30507,2775.8998,470.70506,52.457382,129.21276,2,4.9,1539.2769,395.06273,59,10.7,902.34065,314.20661,34.6,10.3,62.649173,61.147762,2.4,2.3,9.6495724,41.424755,0.4,1.6,0,41.600072,0,1.6,44.403168,77.58108,1.7,3,0,72.053439,0,2.8,52.457382,107.25781,2,4.1,560.16217,218.93349,21.5,7.4,979.11469,328.85055,37.5,10.6,902.34065,314.20661,34.6,10.3,62.649173,61.147762,2.4,2.3,54.05274,97.290289,2.1,3.7,612.61955,254.22,23.5,8.8,974.63939,322.77059,37.3,10.4,1981155620.33984,313714.009424679
409,ARC / GM,Yes,30506,4113,ZCTA,2020 ZCTA 30506,3126.8389,456.73137,76.06198,159.34308,2.6,5.4,1193.4839,373.32907,40.9,11.1,1136.5239,307.69933,38.9,8.6,223.48739,98.325779,7.7,3.2,94.658186,80.210522,3.2,2.7,19.379287,56.68745,0.7,1.9,176.72279,101.55336,6.1,3.3,4.6291795,85.778968,0.2,2.9,71.432801,134.28397,2.4,4.6,395.72308,171.63549,13.6,5.5,797.76086,331.5356,27.3,10.5,1136.5239,307.69933,38.9,8.6,223.48739,98.325779,7.7,3.2,290.76026,141.28086,10,4.6,471.78506,234.19855,16.2,7.6,1454.6695,332.83715,49.8,8.4,3492146374.07813,477798.126716072
410,Georgia Mountains,Partial,30533,4133,ZCTA,2020 ZCTA 30533,2856.922,412.93503,267.41706,204.90791,10.9,8.2,1226.6911,345.38055,49.9,11.7,647.86421,225.17575,26.4,8.2,255.26893,134.76055,10.4,5.2,23.322244,65.921267,0.9,2.7,0,40.125115,0,1.6,37.5095,66.219534,1.5,2.7,16.091185,72.180847,0.7,2.9,251.32588,191.77376,10.2,7.6,495.04614,237.60213,20.1,9.1,731.64501,250.66502,29.8,9.1,647.86421,225.17575,26.4,8.2,255.26893,134.76055,10.4,5.2,60.831743,101.68906,2.5,4.1,762.4632,313.75472,31,11.8,926.45538,270.57372,37.7,9.3,6801701220.54663,592309.890245651
411,GM / NE,No,30558,4154,ZCTA,2020 ZCTA 30558,540.87279,166.21896,20.614079,52.0523,4.3,10.8,362.08241,159.86446,75.7,21.9,91.730588,65.945974,19.2,12.2,3.036249,18.681322,0.6,3.9,0.69812655,19.688305,0.1,4.1,0,18.695978,0,3.9,0,26.440105,0,5.5,2.7628725,28.7107,0.6,6,17.851206,43.418171,3.7,9,204.15618,127.66971,42.7,22.6,157.92623,96.213783,33,16.8,91.730588,65.945974,19.2,12.2,3.036249,18.681322,0.6,3.9,0.69812655,37.897864,0.1,7.9,224.77026,137.87312,47,24.2,95.464964,71.31264,20,13.3,1723026074.9939,355137.409782717
412,Georgia Mountains,Partial,30510,4115,ZCTA,2020 ZCTA 30510,572.06313,160.41617,145.4121,131.17302,29.2,24.8,275.98349,107.75359,55.4,13.4,66.551802,51.386265,13.4,9.5,10.336159,28.332075,2.1,5.7,0,24.45654,0,4.9,0,24.45654,0,4.9,0,34.58677,0,6.9,0.16605839,42.352408,0,8.5,145.24604,124.14763,29.1,23.3,135.43732,77.331098,27.2,13.1,140.54617,75.038242,28.2,12.3,66.551802,51.386265,13.4,9.5,10.336159,28.332075,2.1,5.7,0,48.913079,0,9.8,280.84942,152.27101,56.4,25.2,76.887962,63.571825,15.4,11.8,1230895339.60498,258249.347969432
413,Georgia Mountains,No,30511,4116,ZCTA,2020 ZCTA 30511,354.53256,134.62029,121.5949,109.21134,36.9,29.6,169.03272,86.198994,51.3,16.1,31.318192,31.921069,9.5,8.9,7.718606,18.69842,2.3,5.6,0,14.788371,0,4.5,0,14.788371,0,4.5,0,20.913915,0,6.3,0,25.614211,0,7.8,121.5949,106.1651,36.9,28.6,77.501199,52.837992,23.5,13,91.531525,68.105896,27.8,17.4,31.318192,31.921069,9.5,8.9,7.718606,18.69842,2.3,5.6,0,29.576743,0,9,199.09609,121.32176,60.4,27.7,39.036798,39.840701,11.8,11.1,903486657.166748,195911.202045998
414,Coastal Regional Commission,No,30460,4102,ZCTA,2020 ZCTA 30460,1.20279,4.8031249,0.11779902,4.4164508,10.3,384.7,0.82459313,4.7830753,72.3,288.4,0.19839835,2.8390022,17.4,237.8,0,1.574795,0,138,0,1.574795,0,138,0,1.574795,0,138,0,2.2270964,0,195.2,0,2.7276249,0,239.1,0.11779902,3.4734852,10.3,301.4,0.71299405,4.3535322,62.5,276.4,0.11159907,1.9810521,9.8,168.7,0.19839835,2.8390022,17.4,237.8,0,1.574795,0,138,0,3.14959,0,276.1,0.83079308,6.201474,72.8,448.9,0.19839835,3.6083087,17.4,307.7,9305870.36547852,13992.409275467
415,GM / NE,No,30529,4130,ZCTA,2020 ZCTA 30529,1633.4797,277.85657,108.90067,109.61156,7.4,7.3,822.50843,212.65432,55.8,10.1,457.09818,216.92256,31,13.5,59.841288,56.993702,4.1,3.8,24.817713,46.073872,1.7,3.1,0,28.8646,0,2,0.72811615,40.584578,0,2.8,0.3604169,49.661927,0,3.4,108.54025,97.715847,7.4,6.5,339.70846,135.72674,23,8.2,482.79997,163.7074,32.8,9.3,457.09818,216.92256,31,13.5,59.841288,56.993702,4.1,3.8,25.545829,67.845963,1.7,4.6,448.60912,174.46043,30.4,10.4,541.75718,228.96829,36.8,14,1432347796.70288,313055.082919065
416,GM / NE,No,30530,4131,ZCTA,2020 ZCTA 30530,622.21202,174.71768,35.280552,76.12672,7.3,15.6,343.07398,150.68871,71.1,20.8,97.145394,83.751938,20.1,16.1,6.745773,24.787682,1.4,5.1,0.35790032,21.01718,0.1,4.4,0,20.547379,0,4.3,0,29.058383,0,6,0.05109489,35.586336,0,7.4,35.229457,67.29703,7.3,13.7,153.27558,100.54109,31.8,18,189.79839,112.24338,39.3,19.4,97.145394,83.751938,20.1,16.1,6.745773,24.787682,1.4,5.1,0.35790032,41.331662,0.1,8.6,188.55613,126.11022,39.1,22.8,104.24907,89.836173,21.6,17.2,2227029513.25024,361633.86213567
417,Heart of Georgia Altamaha,No,30464,4104,ZCTA,2020 ZCTA 30464,9.5904055,17.71588,2.1217712,11.305552,34.5,168.2,3.8191881,13.786525,62.1,180.3,0,4.0785644,0,66.3,0.21217713,1.6479888,3.4,25.7,0,2.8839805,0,46.9,0,2.8839805,0,46.9,0,4.0785644,0,66.3,0,4.9952008,0,81.2,2.1217712,10.142163,34.5,147.3,1.909594,5.963295,31,70.5,1.9095941,12.4301,31,190.8,0,4.0785644,0,66.3,0.21217713,1.6479888,3.4,25.7,0,5.7679611,0,93.7,4.0313652,12.781877,65.5,153.1,0.21217713,5.2600283,3.4,85.2,23615396.9511719,21312.3830378952
418,ARC / GM / NW,Partial,30534,4134,ZCTA,2020 ZCTA 30534,2123.0103,374.85799,96.502591,145.60042,5,7.4,829.01713,250.02834,42.7,10,771.35972,281.73119,39.7,12.4,219.19491,153.29045,11.3,7.6,20.443319,57.320422,1.1,2.9,4.7246815,41.737376,0.2,2.1,0,55.706703,0,2.9,0,68.226499,0,3.5,96.502591,128.62592,5,6.6,324.9552,171.09707,16.7,8.2,504.06192,182.3183,26,8,771.35972,281.73119,39.7,12.4,219.19491,153.29045,11.3,7.6,25.168001,90.17137,1.3,4.6,421.4578,224.66351,21.7,10.8,1010.998,325.81599,52.1,13.6,6036809575.94995,665343.645721018
419,Georgia Mountains,No,30562,4157,ZCTA,2020 ZCTA 30562,71.919013,48.184035,6.0176226,27.443211,10.1,45.6,46.425287,47.083852,78.3,50.1,6.8798431,19.551226,11.6,31.7,0,7.6295513,0,12.9,0,7.6295513,0,12.9,0,7.6295513,0,12.9,0,10.789815,0,18.2,0,13.214771,0,22.3,6.0176226,24.05202,10.1,39.8,14.324917,22.250155,24.1,32.3,32.10037,41.494816,54.1,55.5,6.8798431,19.551226,11.6,31.7,0,7.6295513,0,12.9,0,15.259103,0,25.7,20.342539,35.329863,34.3,53.1,6.8798431,22.330933,11.6,36.5,33199682.7963867,30822.3770098839
420,Georgia Mountains,No,30568,4163,ZCTA,2020 ZCTA 30568,236.63395,119.35854,41.312655,63.374796,22.2,31.1,84.211095,59.884869,45.3,15.2,60.531349,93.821946,32.5,46.1,0,14.597021,0,7.8,0,14.597021,0,7.8,0,14.597021,0,7.8,0,20.643305,0,11.1,0,25.282782,0,13.6,41.312655,58.113215,22.2,28,35.580871,34.907122,19.1,14.4,48.630224,48.658918,26.1,20.4,60.531349,93.821946,32.5,46.1,0,14.597021,0,7.8,0,29.194042,0,15.7,76.893526,72.352415,41.3,29,60.531349,96.066141,32.5,47.4,854303743.024902,194956.23150281
421,Northeast Georgia,No,30601,4174,ZCTA,2020 ZCTA 30601,6438.143,542.92068,639.63362,271.09617,10.2,4.2,3593.9687,537.0682,57.3,7,1154.9097,273.78142,18.4,4.1,362.54079,154.96803,5.8,2.4,355.74142,154.06516,5.7,2.4,144,150.13235,2.3,2.4,20.234076,62.54718,0.3,1,262.57547,213.43993,4.2,3.4,377.05815,167.14225,6,2.6,1568.3046,379.13426,25,5.7,2025.6641,380.39383,32.3,5.4,1154.9097,273.78142,18.4,4.1,362.54079,154.96803,5.8,2.4,519.97549,224.02666,8.3,3.5,2207.9382,466.08574,35.2,6.8,1873.1919,350.29621,29.9,5,661559856.728516,184716.109411041
422,Georgia Mountains,No,30571,4164,ZCTA,2020 ZCTA 30571,237.79973,122.10683,20.432391,55.211966,11,29,92.231747,98.494091,49.5,44.9,59.735785,51.12682,32.1,20.6,13.78935,33.672398,7.4,17.6,0,18.773225,0,10.1,0,18.773225,0,10.1,0,26.54935,0,14.3,5.2268906,32.318297,2.8,17.3,15.2055,44.764818,8.2,23.6,33.436469,47.047293,18,23.1,58.795279,86.53114,31.6,42.9,59.735785,51.12682,32.1,20.6,13.78935,33.672398,7.4,17.6,0,37.546451,0,20.2,53.86886,72.538328,28.9,35.3,73.525135,64.03293,39.5,26.1,1227710481.97559,288978.729962205
423,Georgia Mountains,Partial,30564,4159,ZCTA,2020 ZCTA 30564,392.74262,121.50974,33.149974,63.488189,9,17.1,141.90624,86.608065,38.7,19.9,68.274384,63.642836,18.6,16.2,37.777796,33.692156,10.3,8.5,6.8308229,22.854383,1.9,6.2,0,16.125112,0,4.4,78.362463,54.349186,21.4,13,2.2796352,27.929513,0.6,7.6,30.870339,57.014844,8.4,15.3,57.202853,55.130381,15.6,14.1,84.703384,66.795195,23.1,16.6,68.274384,63.642836,18.6,16.2,37.777796,33.692156,10.3,8.5,85.193286,61.124267,23.3,14.8,90.352827,84.08394,24.7,21.5,112.883,75.55061,30.8,17.9,902520622.992432,278434.760324245
424,GM / NW,No,30512,4117,ZCTA,2020 ZCTA 30512,2066.3168,373.84666,374.62304,260.40313,23.1,15.3,802.96043,255.68441,49.5,11.7,325.52377,122.61276,20.1,6.2,68.464388,63.025623,4.2,3.8,37.557239,66.547539,2.3,4.1,0,37.930148,0,2.3,11.867256,55.870553,0.7,3.4,6.8119946,64.98205,0.4,4,367.81104,252.16488,22.7,14.8,580.09544,232.61142,35.8,12.2,222.86499,106.1435,13.7,5.9,325.52377,122.61276,20.1,6.2,68.464388,63.025623,4.2,3.8,49.424495,94.809228,3,5.8,954.71847,349.16739,58.9,17.5,431.54539,153.08394,26.6,7.5,6372762769.2644,519662.000827093
425,GM / NE,Partial,30567,4162,ZCTA,2020 ZCTA 30567,300.59708,140.24575,4.9245217,44.075476,1.8,16.3,177.73355,130.11159,65.7,34.4,57.11392,51.94002,21.1,15.9,29.917097,41.725805,11.1,14.3,1.0343897,12.814855,0.4,4.7,0,16.041059,0,5.9,0,22.685484,0,8.4,0.83359969,25.840797,0.3,9.5,4.090922,35.705753,1.5,13.2,61.137465,75.75492,22.6,25.5,116.59609,105.78383,43.1,32.3,57.11392,51.94002,21.1,15.9,29.917097,41.725805,11.1,14.3,1.0343897,30.596851,0.4,11.3,66.061987,87.643913,24.4,29.9,88.065407,67.845626,32.5,18.7,816278517.269043,230646.612090101
426,Georgia Mountains,No,30516,4119,ZCTA,2020 ZCTA 30516,168.68306,97.975821,8.3398725,31.138733,5.8,21.4,105.11785,93.389533,73.3,43.7,18.741259,33.466464,13.1,21.7,11.264191,27.705557,7.9,18.6,0.00150338,10.032868,0,7,0,10.034516,0,7,0,14.190949,0,9.9,0.00175395,17.3796,0,12.1,8.3381185,25.837379,5.8,17.6,77.252558,85.832827,53.8,48.2,27.865288,36.801232,19.4,22.2,18.741259,33.466464,13.1,21.7,11.264191,27.705557,7.9,18.6,0.00150338,20.068209,0,14,85.592431,91.306598,59.7,50.1,30.006953,44.589915,20.9,27.9,578928219.113037,156863.135530202
427,ARC / GM / NE,Partial,30517,4120,ZCTA,2020 ZCTA 30517,608.92735,232.55195,21.616704,96.381509,3.6,16.2,260.29953,198.61989,43.9,28.7,137.74616,88.138025,23.2,11.7,135.7616,108.53556,22.9,16,33.398222,59.684583,5.6,9.8,1.3258575,30.343021,0.2,5.1,2.6587379,44.226014,0.4,7.5,7.2165742,56.018421,1.2,9.4,14.40013,78.430426,2.4,13.2,78.429523,108.96498,13.2,17.6,181.87001,166.06172,30.7,25.3,137.74616,88.138025,23.2,11.7,135.7616,108.53556,22.9,16,37.382818,80.242686,6.3,13.3,100.04623,145.47427,16.9,23.6,306.90599,152.02148,51.8,15.6,779802377.265869,197297.376541853
